country_name,country_code,series_name,series_code,year,value
China,CHN,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,1990,769.601524864209
China,CHN,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,1990,510.619854913516
China,CHN,"Energy imports, net (% of energy use)",EG.IMP.CONS.ZS,1990,-4.01026432487411
China,CHN,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,1990,917.270661782581
China,CHN,"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total)",EN.ATM.PM25.MC.ZS,1990,100.0
China,CHN,Fossil fuel energy consumption (% of total),EG.USE.COMM.FO.ZS,1990,75.79
China,CHN,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,1990,33.9
China,CHN,"Electricity production from renewable sources, excluding hydroelectric (% of total)",EG.ELC.RNWX.ZS,1990,0.0109453569152121
China,CHN,Electricity production from hydroelectric sources (% of total),EG.ELC.HYRO.ZS,1990,20.39699453376
China,CHN,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,1990,0.0
Denmark,DNK,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,1990,3375.49333145812
Denmark,DNK,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,1990,5944.82836695787
Denmark,DNK,"Energy imports, net (% of energy use)",EG.IMP.CONS.ZS,1990,49.8187308683304
Denmark,DNK,Access to electricity (% of population),EG.ELC.ACCS.ZS,1990,100.0
Denmark,DNK,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,1990,39306.7939232431
Denmark,DNK,"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total)",EN.ATM.PM25.MC.ZS,1990,99.9617372631112
Denmark,DNK,Fossil fuel energy consumption (% of total),EG.USE.COMM.FO.ZS,1990,89.59
Denmark,DNK,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,1990,7.0
Denmark,DNK,"Electricity production from renewable sources, excluding hydroelectric (% of total)",EG.ELC.RNWX.ZS,1990,3.06750827495959
Denmark,DNK,Electricity production from hydroelectric sources (% of total),EG.ELC.HYRO.ZS,1990,0.107766915556924
Denmark,DNK,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,1990,0.0
Denmark,DNK,Fuel exports (% of merchandise exports),TX.VAL.FUEL.ZS.UN,1990,3.34034602427167
Ukraine,UKR,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,1990,4841.71904895513
Ukraine,UKR,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,1990,4772.57388333659
Ukraine,UKR,"Energy imports, net (% of energy use)",EG.IMP.CONS.ZS,1990,47.986381029802
Ukraine,UKR,Access to electricity (% of population),EG.ELC.ACCS.ZS,1990,100.0
Ukraine,UKR,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,1990,3102.310546875
Ukraine,UKR,"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total)",EN.ATM.PM25.MC.ZS,1990,100.0
Ukraine,UKR,Fossil fuel energy consumption (% of total),EG.USE.COMM.FO.ZS,1990,92.59
Ukraine,UKR,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,1990,0.7
Ukraine,UKR,"Electricity production from renewable sources, excluding hydroelectric (% of total)",EG.ELC.RNWX.ZS,1990,-0.0699382602439473
Ukraine,UKR,Electricity production from hydroelectric sources (% of total),EG.ELC.HYRO.ZS,1990,3.58826777318587
Ukraine,UKR,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,1990,25.4919939096826
Uzbekistan,UZB,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,1990,2315.79830531938
Uzbekistan,UZB,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,1990,2388.47325154278
Uzbekistan,UZB,"Energy imports, net (% of energy use)",EG.IMP.CONS.ZS,1990,18.4476358178807
Uzbekistan,UZB,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,1990,1569.01079980159
Uzbekistan,UZB,"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total)",EN.ATM.PM25.MC.ZS,1990,100.0
Uzbekistan,UZB,Fossil fuel energy consumption (% of total),EG.USE.COMM.FO.ZS,1990,99.18
Uzbekistan,UZB,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,1990,1.3
Uzbekistan,UZB,"Electricity production from renewable sources, excluding hydroelectric (% of total)",EG.ELC.RNWX.ZS,1990,0.0
Uzbekistan,UZB,Electricity production from hydroelectric sources (% of total),EG.ELC.HYRO.ZS,1990,11.8029294274301
Uzbekistan,UZB,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,1990,0.0
Uruguay,URY,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,1990,724.623158851083
Uruguay,URY,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,1990,1246.29437608455
Uruguay,URY,"Energy imports, net (% of energy use)",EG.IMP.CONS.ZS,1990,52.2673943280636
Uruguay,URY,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,1990,8320.3559048693
Uruguay,URY,"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total)",EN.ATM.PM25.MC.ZS,1990,83.4055575466791
Uruguay,URY,Fossil fuel energy consumption (% of total),EG.USE.COMM.FO.ZS,1990,58.64
Uruguay,URY,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,1990,44.8
Uruguay,URY,"Electricity production from renewable sources, excluding hydroelectric (% of total)",EG.ELC.RNWX.ZS,1990,0.806126561870214
Uruguay,URY,Electricity production from hydroelectric sources (% of total),EG.ELC.HYRO.ZS,1990,94.155582426441
